session,acquisition,status
125987x20210610x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_MeanPerf,deleted
125987x20210610x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_ASL,deleted
125987x20210610x3T,SpinEchoFieldMap_AP,deleted
125987x20210610x3T,SpinEchoFieldMap_PA,deleted
125987x20210610x3T,rfMRI_REST_AP,deleted
125987x20210610x3T,B0map,deleted
20081008x1021,csi_se_30,deleted
124972x20210525x3T,Localizer,deleted
125987x20210610x3T,B0map,deleted
125987x20210610x3T,MultiShell_117dir,deleted
20081008x1021,DTI_30dir_noDiCo_vox2_1000,deleted
20081008x1021,MoCoSeries,deleted
20081008x1021,MoCoSeries,deleted
20081008x1021,localizer,deleted
122946x20210427x3T,MultiShell_117dir,deleted
20081008x1021,csi_se_30_unsup,deleted
20081008x1021,MoCoSeries,deleted
20081008x1021,localizer,deleted
20081008x1021,DTI_30dir_noDiCo_vox2_1000,deleted
20081008x1021,ep2d_fairest_UI_1500ms,deleted
20090106x1214,MoCoSeries,deleted
20080108x1018,t2_nex_1,deleted
20060726x1128,localizer,deleted
20180110x1405,long DTI P-A,deleted
20180110x1405,ABCD_T1w_MPR_vNav_setter,deleted
20180110x1405,3D PASL,deleted
20180110x1405,ABCD_T1w_MPR_vNav_moco_ND,deleted
20180110x1405,Sagittal MP-Rage,deleted
20180110x1405,ABCD_T1w_MPR_vNav_moco_ND RMS,deleted
20180110x1405,AX FLAIR 3mm,deleted
20180110x1405,ABCD_T1w_MPR_vNav_setter,deleted
20170920x1313,Sagittal MP-Rage,deleted
20180110x1405,ABCD_T1w_MPR_vNav_moco,deleted
20180110x1405,Localizer,deleted
20180110x1405,ABCD_T1w_MPR_vNav_passive,deleted
20180110x1405,long rsfMRI P-A,deleted
20180110x1405,ABCD_T1w_MPR_vNav_passive_ND RMS,deleted
20180110x1405,ABCD_T1w_MPR_vNav_passive_ND,deleted
20180110x1405,Perfusion_Weighted,deleted
20180110x1405,long DTI P-A_TENSOR,deleted
20180110x1405,ABCD_T1w_MPR_vNav_setter,deleted
20180110x1405,PhoenixZIPReport,deleted
20180605x1417,ABCD_T1w_MPR_vNav_moco_ND RMS,deleted
20180605x1417,long DTI P-A,deleted
20180605x1417,ABCD_T1w_MPR_vNav_passive_ND RMS,deleted
20180605x1417,ABCD_T1w_MPR_vNav_moco_ND,deleted
20180605x1417,ABCD_T1w_MPR_vNav_setter,deleted
20180605x1417,AX FLAIR 3mm,deleted
20180605x1417,Localizer,deleted
20180605x1417,Perfusion_Weighted,deleted
20180605x1417,long rsfMRI P-A,deleted
20180605x1417,ABCD_T1w_MPR_vNav_setter,deleted
20180605x1417,ABCD_T1w_MPR_vNav_moco,deleted
20180605x1417,ABCD_T1w_MPR_vNav_passive_ND,deleted
20180605x1417,Sagittal MP-Rage,deleted
20170920x1313,ABCD_T1w_MPR_vNav_moco_ND RMS,deleted
20170920x1313,ABCD_T1w_MPR_vNav_moco_ND,deleted
20060726x1128,ep2d_diff_MDDW_12,deleted
20171213x1012,ABCD_T1w_MPR_vNav_setter,deleted
20171213x1012,ABCD_T1w_MPR_vNav_setter,deleted
